,lesion_id,memo_info
63,666597,브레이크를 밟으면 주행떨림 발생
64,666597,브레이크를 밟으면 주행떨림 발생
65,664550,티맵 안됨 네비게이션 화면 사진 요청 화면 중앙 네비게이션 눌러주시면 확인되는 안내 창이나 이용 안되는 상황인지 문의
66,665521,네비게이션 오작동
67,667304,차량에서 아저씨 냄새 너무많이난다함
68,666576,차량내 충전카드 없음
69,666987,하이패스 인식오류 문의
70,665817,네비게이션 불량
71,667262,하이패스 구간 통과하였으나 단말기 미인식이라고 확인되어 문의
72,666854,네비없음 차량변경 요청
73,665230,충전카드 분실
74,667235,브레이크등 미점등과 후방카메라 안된다고 인입
75,667720,시동불가
76,667586,이전 사용자가 뒷자석 시트 접어놔서 반납 시 복구하려 했으나 펴지지 않아 그래도 반납함
77,667204,하이패스 지나갈시 미인식된다고함
78,667937,주행중 문제발생되신다함
79,666926,하이패스 단말기 카드가 없다고 함
80,662756,내비 오작동 취소 요청
81,665317,충전카드가 없어졌다고 인입 카드번호나 회원번호같은거 알수있는지 문의
82,668679,타인 분실물 습득 건으로 인입
83,669220,내비작동불가인입
84,669202,반납이 안됨
85,668924,문이 안열림
86,668691,컨트롤 패드 화면 안들어옴으로 인입
87,668008,핸들러 인입 분실물 두고내려 문제어 요청문의
88,669333,운행불가 취소안내받아 인입
89,669163,내비 인터넷 연결이 안된다고 하심
90,668500,충전카드 없음
91,669445,공기압 경고등
92,669454,내비게이션이 작동이 되었다가 안되었다가 한다고함
93,668231,내비게이션 작동 안됨
94,667176,내비게이션이 작동안되어 인입
95,668518,재시작 해줬는데도 안된다고 함
96,668860,하이패스 카드를 잘못 껴내놔 미인식 있었음
97,669453,차량 좀 늦게 이용하게 됬는데 주차장에서 차량 잠시 움직여보니 차에서 알수없는 소리가 남 바퀴쪽에서 긁히는소리 발생 육안으로는 문제 없음
98,668737,공기압 통합 경고등 점등
99,668598,분실물 놓고내린 휴대폰 충전기랑 케이블 찾을 수 있을지 문의
100,669009,주유량 부족으로 인해 운행 불가
101,669263,운전석라이트고장인입
102,667876,전기차량의 충전카드가 없다고 함
103,667806,경고등 점등 문의
104,668222,고객 운전석 시트높이조절 장치 파손으로 인입 운행하는데 너무 불편하다고 하심
105,668458,차량 시동이 걸리지않아 인입
106,669442,전기차 차량내 카드 없음
107,669381,차량 변경 받으러 대차존 왔는데 변경받기로 한 코나차량 타이어 찢어져 있고 마모되어있다고 인입
108,668492,반납전 전화 달라고 해서 인입
109,669963,배터리 방전으로 시동불가하여 인입
110,668371,타이어가 불록하다며 터질거같다함
111,668787,반납후 공기압 경고등 제보
112,668973,경고등이 점등되었다고 함
113,668753,네비게이션이 자꾸 꺼짐
114,668183,타이어 공기압 경고등 점등으로 인입
115,669491,차량 운행 시작전 타이어 공기압 경고등 점등으로 인입
116,667305,대차 안내간 답변못드린내용 확인후 ob
117,667554,하이패스 카드가없다고 나와서 인입
118,667554,하이패스 카드가없다고 나와서 인입
119,669003,반납할때 고객센터로 전화하라해서 인입
120,669091,경고등점등되어인입
121,661499,주유카드 결제불가로 개인카드로 결재 후 인입
122,668977,주차장에 차량없다함
123,668426,운전석 쪽 사이드미러 안접힘 운행 지장없으니 그냥 타겠다함
124,668852,차량 내부 썬팅에 문제가있어 인입
125,668240,차량 운전석쪽 에이플러 파손되어인입
126,669147,주간주행등점등
127,668581,전조등안들어온다고함
128,668660,내비게이션 고장으로 문의
129,669347,아까 타이어 긴출 받았는데 기사님이 타이어에는 문제없고 센서가 문제가 있었다 했다 함 그래서 정상 이용중에 차량에서 타는냄새가 나서 인입
130,669347,아까 타이어 긴출 받았는데 기사님이 타이어에는 문제없고 센서가 문제가 있었다 했다 함 그래서 정상 이용중에 차량에서 타는냄새가 나서 인입
131,669313,사이드브레이크 해제 불가
132,669259,차량이용하자마자 배터리방전으로 확인됨 문의
133,668505,조수석 뒷바퀴 못박힘
134,667866,경고등 점등돼서 인입
135,667866,경고등 점등돼서 인입
136,668074,차량 내비게이션 문제로 더이상 이용을 할 수 없어 반납함
137,668840,내비고장으로 인입
138,668361,하이패스 구간 이동시 결제 오류로 뜬다함
139,669519,타이어공기압경고등점등으로 인입
140,667901,운행전 배터리방전 시동불가
141,667901,운행전 배터리방전 시동불가
142,667120,난폭운전 신고 위해 블랙박스 영상 요청
143,668867,차량떨림 긴출불가
144,668317,안전벨트고장
145,667103,시동이걸리지않음으로인입
146,668219,차량 80이상 주행시 떨림 점검언제했냐하심
147,668219,차량 떨림 있다며 언제 점검했는지 문의
148,665584,차안에 담배냄새남
149,667567,고객님 하단 디퓨저 파손확인
150,667328,차량 시트위치 조절하는 레버가 고장났다고 인입
151,669462,후방카메라 사용불가 및 네비게이션 위에 있는부분으로 주행 시야 확보 어려우시어 전액 환불 요청
152,669230,37허0156 차량 접수 안되어있는지 문의
153,669144,운행중 네비게이션이 자꾸 오류를 일으켜 이십분에 한 번 꼴로 운행중 난처한 상황이 발생 사진첨부
154,669167,공기압 경고등 점등
155,668244,네비게이션 탈거 운행중 너무 불편한데 기대걸쳐놓아도 자꾸쓰러져서
156,669349,하이패스 미인식
157,667891,이전상담사한테 안내받은대로 경고등 사진 보냈다고 하심
158,668269,라이트 경고등 점등
159,669278,배터리방전으로 조금전에 긴출접수해서 조치했는데 이후에 시동끄면 배터리방전또 될수도있고 내비도안된다함
160,668182,문제어 불가 확인요청
161,666709,이전에 통화했던 내역 확인요청 기아오토큐 방문해서 수리 받고 영수증 첨부하겠다고 함 기사님 지금 계신곳으로 보내달라고함
162,666709,라이트 조치후 인입
163,666709,경고등 점등되었다며 인입
164,669198,타이어 공기압 경고등 점등 인입
165,668794,컨트롤 패드 인터넷 연결불가로 인입
166,668136,주행중 엑셀 밟으면 소음이 크게 들리고 왼쪽으로 핸들 돌리면 소리와 함께 뭔가 굴러가는 느낌 반납존 돌아가는길로 반납후 점검 요청
167,668325,타이어공기압경고등으로인입
168,669146,시동 걸리지 않아 인입
169,668932,내비장애로 유입 내비가 자꾸 홈화면으로 바뀐다고 항의
170,668932,네비게이션 계속 꺼짐
171,668220,사이드브레이크 해제했는데 지속 경고등 점등 ABS 경고등도 점등 공기압 경고등도 점등 주행 중에도 속도계 0
172,668220,경고등 소등 됐었으나 동일 경고등 재점등 되고 차가 떨림
173,668634,시동이 안걸림
174,669798,주행중 타이어 펑크남
175,659117,사진첨부 위에 썬글라스 보관함이 안닫히는데 고장난 것 같음 탈때부터 저랬음
176,668076,엔진 냉각수 온도가 올라가고 시동이 꺼짐 간헐적으로 경고등이 나옴 엔진경고등 노란색
177,668469,타이어 가라앉아있음
178,668404,주간주행등 점검하라는 멘트가 떴다고하심
179,669471,대차 차량 반납 요청
180,600843,긴출기사 도착시 옆구리 찢어져서 운행 못한다고함
181,600843,운행전부터 오른쪽 앞바퀴 공기압이 낮았는데 지금 운행했더니 아예 주저 앉았다고함
182,667565,긴출받고 인입
183,667565,핸들 조작할 때 소음 발생 조치 가능하여 인입
184,668119,스패너 경고등 점등
185,669480,차량위치 확인불가
186,668584,하이패스 카드 없다는 멘트 확인
187,669942,차량 반납하러 왔는데 계속 시동이랑 라이트가 켜져 있다고 나온다며 반납처리가 안 된다며 인입
188,669058,후방카메라안됨으로인입
189,667326,대차차량 주유카드 고장으로 결제 불가하여 인입
190,669257,다름이 아니라 쏘카 빌릴때마다 자주 이러더라 연결하면 갑자기 누가 사용중인 네비라면서 뜨고 내비 또 재부팅하고 아니면 잘가다가 연결 끊어지고 그전에는 좀 이해햇는데 늦게 연결되는건 어제는 연결 계속안돼고 길 가다가 누가 사용 중 이라며 끊겨서 가는 길과 오는길에 길 헤매고 어제는 진심 화가 났음 왜이런건지
191,669223,배터리 방전
192,668905,네비게이션 켜지지않아 인입
193,668905,네비게이션 안됨
194,668223,후측방 충돌경공메세지점등
195,667897,우측 전면 주간주행등 고장인듯 안들어온다함
196,669397,좌라이트
197,669477,차량이 방전됐다고 인입
198,668784,내비게이션 소리가 너무 작게들려 이용할수없다고하여 문의
199,669293,차량 시동이 안걸리고 지지직 소리가 나고 시동이 걸리면 앞으로 안감
200,668795,내비게이션 화면정지및 소리가 들리지않음
201,668356,스마트키를 인식할 수 없다고 뜨고나면 공기압 경고등이 뜸
202,668816,브레이크 경고등 점등으로 인한 차량변경
203,669693,문이 안열림
204,669506,신호걸릴때 브레이크 밟고 있다가 브레이크 떼면 앞으로 나가야하는데 공회전이 돌면서 잘 안나간다고 인입
205,669386,공기압 제보하고 약속 시간때문에 목적지는 도착했는데 엔진 과열이라고 뜸
206,669386,공기압 제보하고 약속 시간때문에 목적지는 도착했는데 엔진 과열이라고 뜸
207,668725,브레이크밟을때 소음발생됨 내부상태더러운건아닌데 깨끗하진않다함
208,669715,차량 이용할떼 내부 연료경고등 점듬됨 주유할시간없음 목적지까지는 이동가능하나 목적지에서 차량변경요청
209,667706,운행중 네비 오류로 길을 잘못타서 발생한 하이패스 요금 연장 시간요금 주행거리비용 환불요구 안될경우 상급자 통화 요청
210,669314,타이어경고등점등인입
211,669314,타이어경고등점등인입
212,669867,차량 주행중인데 따로 쓸일이 없어서 안썻는데 주유카드가없음 반납 후 확인해달라고하심
213,669342,네비게이션 경로탐색 도중 끊김 및 네비게이션 멈춤 현상으로 인입
214,669237,차량 대여 했는데 계속 내비게이션 업그레이드만하고 작동이 안됨 기다리면 된다고 생각했는데 하루종일 그 상태임
215,669237,내비게이션 사진 첨부 업데이트만하고 작동이 안됨
216,669321,내비 안내 음성이 지지직 거리며 들림
217,663711,후방카메라가 물티슈로닦아도 흐릿하다고함
218,669704,주유 안되있으며 주유카드없어서 문의
219,668844,내비게이션이 안된다며 인입
220,669591,대차안내ob
221,669429,보조제동등 점검하라고 떠서 인입
222,668846,쏘카패스를 3개월권으로 결제함 1년권으로 변경 하고 싶음
223,669688,경고등이 점등되었다며 인입
224,668934,핸들러 인입 경고등 점등 문의
225,668513,블루투스 연결불가 및 오디오 송출 불가로 인입
226,667961,후방카메라 화면 지지직 거리며 잘 안보임
227,668205,주유하러 왓는데 사용중지 카드라고함
228,667932,하이패스 미부착으로 인입
229,668640,RPM이 심하게 올라가고 소음이 심함 떨림현상이 있음 차량이 잘 나가지 않음 최고 시속이 70정도 밖에 안나옴 무거운 느낌이 많이 남
230,668640,RPM이 심하게 올라가고 소음이 심함 떨림현상이 있음 차량이 잘 나가지 않음 최고 시속이 70정도 밖에 안나옴 무거운 느낌이 많이 남
231,669508,고객 반납중이신데 라이트 경고등 점등되어 인입
232,668515,배터리방전으로 인입
233,664810,본네트에서 연기나고 엔진체크 경고등있다고 함 다시 시동 안켜진다고 함
234,668563,차량문제 신고하려함
235,668339,앞 범퍼가 탈거 되어 있음
236,669469,내비게이션이 안켜져서 인입
237,668446,타이어경고등으로 조치받았으나 브레이크 밞을때마다 쇠소리로 소음발생인입
238,668832,내비게이션이 안된다며 인입
239,667903,네비게이션 소리가 들리지않아 인입
240,669254,경고등 점등 인입
241,669435,시동이 걸리지 않은 START 버튼 누르면 핸들 브레이크 잠기는 느낌
242,669287,조수석 시트 쪽에서 소음 발생으로 인입
243,667990,출차할려던도중 차량소음발생됨문의
244,669271,주차장을 나가려고 하는데 공기압 경고등이 점등 됨
245,668411,내비 오작동 탈거 문의
246,668693,블루투스연결안됨
247,668424,사진첨부 네비게이션 작동하지않음
248,668424,좀전에 현재타는 차량 배터리확인으로 상담했었는데요 주행하는중에 왼쪽계기판 쪽에 노란 느낌표가떴음 괜찮은건지 사진첨부
249,668203,반납한 차량 내비게이션 정상 작동되지 않았음 지금 새롭게 예약하여 배정된 34797399 차량이 동일 차량인 것 같음
250,668724,주유카드 없음
251,668884,점검등 경고등 점등으로 인입
252,669696,내비게이션 소리안남
253,668172,블루투스 연결안되는거같고 주행소음 있다고 유입
254,670071,주행중 멈추면 기어 변속이 되지 않음
255,669239,계기판 유리 파손으로 인입
256,669872,주행시 소음 발생된다고 하심
257,669457,내비게이션 화면 멈춰있고 기어 R로 두었을때 후방카메라 작동되지 않아 문의
258,668117,내비는 작동 잘되나 내비 안에 부가적인 서비스 버튼이 작동되지 않는다고 문의
259,669365,대여 장소가 건물 지하 3층이라 되어 있었는데 전에 빌리신 분이 지상에 대신 건지 한참을 찾아서 대여시간 20분 정도가 지체되었음 지체된 만큼 연장 가능한지
260,668945,주차후 시동키니 경고등점등되어인입
261,668945,차량 변경안내 받은 쏘카존으로 이동했는데 후진이 되지 않아 어떻게 해야할지
262,669644,어제 예약했던 차량 후우 타이어 펑크로 접수하고 차량 변경 받았었는데 아직 조치 안되어 있음
263,669922,카오디오 전원 들어오지 않아 인입
264,668436,타이어 공기압 경고등 점등
265,668612,내비가 떨어져 있고 주유카드 오류나서 개인 카드로 결제함
266,669673,계기판에 경고등 점등
267,669707,주행시 소음 발생
268,669707,긴출기사 확인시 타이어쪽에 문제있어서 공업사 입고해야한다하셨다하심
269,668583,후방카메라 작동 불가 인입
270,669638,타이어공기압경고등
271,668328,내비게이션화면꺼짐
272,669893,타이어공기압점등
273,669473,엔진체크 경고등 점등
274,664911,후방카메라 안나와서 대차요청
275,664911,후방카메라 안나와서 대차요청
276,668926,타이어 공기압 경고등
277,668967,담배냄새남 이전고객 담배핀듯함
278,669815,전조등 점검하라는 경고등이 계속 들어왔다고 하심
279,667986,후방카메라 안나옴 재시작 재시동 해도 동일함
280,669518,계속 경고음이 들려 인입
281,667803,운행도중 힘을 못받는다 느꼇는데 경고등떠서 인입
282,669990,하향등을 점검하라는 메세지 나옴
283,668728,a필러 파손되어 있음
284,669559,네비게이션GPS접수안됨
285,669611,블랙박스
286,668507,내비게이션 연결불가
287,669579,엔진체크경고등점등인입
288,670072,고객님 반납시 연료경고등 발생인입
289,669997,브레이크에서 터지는 듯한 소리가 남
290,666996,주유 카드 사용 정지로 나와 결제 불가 문의
291,669931,내비가 자꾸 다른곳 안내 한다고 항의
292,670007,스패너경고등이 발생되었음
293,668651,라이트 조수석 하향등
294,668651,라이트
295,670223,핸들러 인입 주행중 소음 발생문의
296,669265,내비 네트워크연결안된다함
297,669399,운전석 A필러 내장재 탈거 제보
298,668311,시동안걸림
299,669475,라이트 경고등
300,669822,계기판에 공기압경고등 점등
301,669750,20하5049 [쏘카세이브] 아반떼AD 차량 렉카차에 실려 왔으며 베터리 방전으로 시동 켜 지지 않아 인입
302,666498,차량을 운행중인데 앞 창문이 심하게 떨리고 소음이 발생해서문의
303,668982,타이어 공기압 경고등 점등
304,668758,네비게이션 안됨 재시작 해도 안됨
305,667904,반납이 안되어 인입
306,667904,와이파이 연결이 되지않아 인입
307,669616,라이트 결함 경고등 점등
308,670041,하이패스 단말기 오작동
309,669709,ABS 경고등 점등
310,670060,카드방향을 확인하라는 안내멘트지속 발생 인입
311,669890,차량 탑승하시고 시동거시는데 공기압경고등이 점등되었다고 인입
312,669648,차량 문제어 불가 문의
313,669875,차량 속도가 올라가지 않음으로 인입
314,669076,타이어 공기압 경고등 점등
315,667974,후방카메라가 안되 인입
316,669243,라이트 경고등 점등 지금 반납 예정
317,668862,차량문은 열리는데 시동이 걸리지않아 문의
318,669809,차량키인식불가로인해 기다릴시간없음 대차요청
319,669120,내비인터넷오류문의
320,669463,하이패스 단말기 오류로 하이패스 요금이 얼마인지 안나왔다 확인 요청
321,668338,운행전 문제어 불가
322,669765,타이어 펑크 문의
323,668077,내비게이션 목적지 설정 불가로 문의 서비스 지연
324,669217,운행전 계기판에 경고등이 떳다고 인입
325,668024,TCS오작동 티맵 실행준비중
326,668347,운전석 조절레바 부러져있어 인입
327,668451,차량계기판에 점등됨
328,661580,트렁크제어 불가로 문의 손잡이안에 실리콘 없음
329,668708,엔진체크 경고등 점등되셨다 인입
330,668708,엔진체크 경고등 점등되셨다 인입
331,669846,차량 대여하러 오셨는데 타이어 공기압 경고등이 들어와 있었다며 인입
332,667302,차량에서 아저씨 냄새 너무많이난다함
333,669892,타이어 공기압 경고등 점등
334,665276,네트워크연결불가
335,668675,운행전 경고등 떠있어 문의
336,669201,버튼 하나 없음 제보
337,661716,네비게이션에서 팁맵실행중이라고 나오고 음성이 깨져서 인입
338,669793,타이어 공기압점검등 문의
339,665186,음향조절 버튼이 빠져있어 이것도 조치필요할것같음
340,668303,라디오 볼륨 조절 버튼 레버 빠져있음
341,669727,차량 무단 주차중으로 인입
342,670012,운행전 계기판 공기압경고등확인
343,670213,내비게이션 업데이트 안내문 뜨고 공기압 낮다고함
344,669630,차량문이 안열린다고 문의
345,667662,내비 오작동 문의
346,667662,내비 오작동 문의
347,669556,히터트려는데 안나온다함 이용방법모르시겠다함
348,669556,히터트려는데 안나온다함 이용방법모르시겠다함
349,669866,차량을 이용중인데 차량에 핸들 소음이랑 주행소음 오른쪽 앞 전조등으로 인입
350,669866,차량을 이용중인데 차량에 핸들 소음이랑 주행소음 오른쪽 앞 전조등으로 인입
351,666555,내비 안되어 유입 내비가 지우는 중이라고 뜨면서 안된다고 함
352,667755,내비가 고장났는지 파란화면 깜빡거림
353,669433,타이어공기압점등
354,669994,시동불가 인입
355,668457,내비 인터넷 연결이 되지 않아서 인입
356,669874,네비게이션을 클릭해도 아무런 작동을 하지 않는다고 하심
357,668947,내비게이션이 라디오 화면으로 계속 바뀐다고 함
358,669284,문이 안열린다며 인입
359,669303,시동은 걸리나 계기판 경고등 점등
360,668456,카오디오가 안눌린다함
361,669376,충전카드 없어 인입
362,669920,차량배터리 방전된것같음 시동불가
363,669544,경고등점등 인입
364,669698,계기판에 경고등 점등
365,669770,타이어 공기압 낮다며 사진전송 링크요청
366,668388,네비가 sd카드를 삽입하라는 문구나오고 안됨
367,669817,외부?결함? 경고등 보인다고 하심
368,669827,라이트장애 경고등 점등
369,669940,차량문제 제보
370,667478,컨트롤 패드 화면 안들어옴 인입
371,668460,엔진체크 경고등 점등
372,668538,내비가 안켜져 인입
373,669683,하이패스 카드 없다고 뜸
374,669479,하향등이 안들어와서 인입
375,669479,하향등이 안들어와서 인입
376,669882,내비게이션이 안된다며 인입
377,668711,블루투스 연결 안됨
378,669733,시동안걸려서 문의
379,668306,전기차 충전카드가없다며인입
380,662656,내비게이션 음성 안내 나오지 않음
381,669236,차량 없어 지연시간과 핸들 돌아감 현상으로 보상요청
382,669208,네비게이션이 떨어져있음 문의
383,669773,왼쪽 브레이크등 점등으로인입
384,668081,3번째 전화했는데 내비게이션이 여전히 안된다고 불만
385,667514,전기차에서 휘발유냄새가 강하게 난다심
386,669677,엔진경고등 제보
387,668588,내비게이션 작동불가 인입
388,669290,엔진체크 경고등 계기판 불 들어와 인입
389,669083,공기압경고등 점등되었다고인입
390,668138,하이패스 후방카메라 문제로 인입
391,668138,하이패스 후방카메라 문제로 인입
392,669224,키아웃 발생되어 인입
393,669372,차량안에 타는냄새가 심하다고 인입
394,669886,타이어 공기압 경고등 점등 되었다며 인입
395,668652,라이트 하향등이 안나와서 인입
396,669918,전조등 미점등으로 인입
397,668353,스마트키인식불가로 시동안걸림
398,668452,차량계기판에 점등됨
399,669955,라이트 경고등 점등 오른쪽 전조등 나간것같다고 하나 혼자 있어 어디쪽 라이트인지 정확한 파악 안됨
400,668218,내비가자꾸꺼진다며 불만으로인입
401,670134,타이어 공기압 경고등 점등
402,669509,내비게이션 작동불가 인입 인터넷 연결이 안된다고 함
403,668342,하이패스전원안켜짐
404,670560,차량시동이걸리지않음으로인입
405,670308,얼라이먼트 틀어짐
406,669490,엔진체크 경고등 점등되어서 문의함
407,670444,단말기 재시작 이후 OB
408,668003,스마트키 인식 불가 문의
409,667487,내비게이션 t맵 실행중 및 탈거 고정 안됌
410,670380,타이어에 펑크가 나 있어서 사진 보내주시면 차량 변경 해주시겠다 하셨다며 인입
411,670138,내비게이션이 중간에 끊기며 주행중 위험할것같고 카메라 모양에 금지마크가 떠있어 차량변경요청
412,669728,엔진체크경고등점등인입
413,670133,브레이크밞을때마다 끽 소음 발생인입
414,669426,조치 후 인입
415,670750,내비 소리가 나지 않음
416,669910,주간주행등 경고등점등
417,670315,타이어 공기압 경고등
418,670384,차량내 운전석 전기시트 들어오지 않아 변경요청
419,669599,트렁크 열때 힘이 너무 많이 들어가며 열린 상태에서 고정이 되지 않고 바로 닫혀 위험함 내비게이션 소리 안남 차량 내부 상태 더러움
420,669401,충전카드가 없다고 함
421,670327,띠띠띠띠 경박한 소리 난다고 인입 블랙박스는 메모리카드 확인해달라고 함
422,670226,내비 화면이 삐뚫어져있어 터치도 잘 안되고 블루투스 연결이 안됨
423,667511,오늘 이용한 차량 네비가 안됌
424,669854,왼쪽 사이드 미러 파손
425,668875,내비게이션 오류
426,670153,주행하려고 하는데 경고등 들어옴
427,670349,출차전 공기압경고등노출
428,670140,차량에 띠띠띠 소리가 계속 난다고하심
429,669743,타이어공기압부족 경고메세지 점등
430,670313,핸드폰배터리가 없어서 반납요청 위해인입
431,668256,예번 34798424 인입번호 차량 시동이 걸리지않아 인입 네비게이션도 안된다고 하심 사진 받았고 터치가 안된다고 하심
432,668256,인입됨 내비게이션오작동 현장조치완료함 무상시간연장요청
433,669050,차량 떨림 인입 아까는 경고등 점등있었으나 현재는 없어졌다고 함
434,669883,접촉 한곳은 없는지 수긍 전우 펑크 확인 차량 변경 안내 수긍 인근 쏘카존 투산 차량 수긍 반납은 대차존에 하시겠다고함 재인입시 이용못하시간 무상연장 안내 수긍
435,670219,차량이용할려고탔는데 차량이 시동이안걸림
436,670550,차량 시동 불가 인입
437,670175,엔진경고등 점등되어서 인입
438,670199,운행전 전좌타이어 펑크 문의
439,670101,차량위치 확인 불가
440,669717,주유구 계패방법 문의
441,669717,주유구 계패방법 문의
442,670272,내부에 담배냄새와 블랙박스 파손됐다며 인입
443,670628,이용시작하려는데 타이어공기압점등으로 인입
444,668478,고객이 언급한대로 상세 장애 내용 작성
445,668011,운전석 의자가 뒤로 넘어가지를 않아서 사진촬영하여 전송했음 운행하기 너무 불편함 차량변경요청
446,669405,차량 문잠금이안됨
447,670196,차량 사진을 다른 차랑과 헷갈려서 다른 차량 사진을 등록 했음 예약 취소 후 다시 진행 되는지
448,667919,타이어 빵꾸 발생 일반 정비소에서 불가하다하여 출동 서비스 요청
449,670069,주유카드 없다고함
450,669836,내비 거치대가 파손됐다고 인입
451,669836,내비 거치대가 파손됐다고 인입
452,670615,시동안걸려서 문의
453,667722,네트워크에 연결되어있지 않다고 뜸 티맵 실행 불가
454,668760,차량 이용 중 아래와 같은 화면이 계기판에 떠서 수리가 필요할 것 같아 메시지 남김
455,670205,네비게이션 고장으로 인해 인입 사용자 인증정보가 맞지않아 계속 로그아웃된다고 하심
456,669905,하이패스 인식 안되어 인입
457,669447,방향지시등경고등점등
458,670242,경고등 없음 배터리 방전
459,669943,배터리 방전 인입
460,664431,롯데마트계양점 배치되어 있는 코나 네비게이션이 너무 느리고 셀토스는 매립된 네비가 왼쪽으로 너무 가라앉아서 버튼 누를때 불편함 제보
461,665786,내비게이션 sd카드 오류나서 인입
462,665786,내비게이션 sd카드 오류나서 인입
463,670265,후방카메라 사진찍어준다며 링크전송요청
464,670126,전좌타이어 파스 인입
465,669831,내비게이션 부착불량
466,667978,키아웃
467,668106,차량 후방카메라가 안나옴 고장났음
468,669993,타이어 공기압 경고등
469,665958,차량 내부 손잡이 파손 문의
470,670920,사진첨부 차량 65호3453 대여시작부터 차량 계기판에 경고등 들어와 있었음 조치요청
471,667336,차량 내부 볼륨 조절하는 버튼이 탈거 되어 문의
472,670427,엔진경고등 확인되어 인입
473,669799,내비게이션이 t맵 실행중에서 바뀌지 않아 인입
474,668961,하이패스 통과시 단말기 이상으로뜬다고 함
475,670159,차량 시동이 안걸림 동영상 보내드릴 방법 확인요청
476,667955,내비게이션 소리안나와서 인입
477,667955,내비게이션 소리안나와서 인입
478,667588,후방카메라 안됨 문의
479,669022,반납이 안된다고 함
480,667690,내비가 안된다고 인입
481,669444,내비게이션이 안켜짐으로 문의
482,667957,TCS오작동
483,669085,네비게이션 미작동
484,670546,차량이용할려고 이제 막 도착했는데 시동이안걸림
485,670251,라이트 장애 경고등 점등
486,670010,차량 내에서 카드가 없다는 알림이 나왔었는데 하이패스를 지나니 하이패스 카드가 없다고 나와서 인입
487,665136,엔진체크 경고등 점등으로 차량 반납예정이셔서 반납후 점검요청
488,668547,경고등 떠서 문의
489,670165,배터리 방전 시동불가
490,670099,차량 없어서 문의
491,669692,시동안되서 문의
